subject,grade,topic,bloom,question_id,stem,cbc_code,alignment_rating,clarity,grammar,cognitive_level,ambiguity
Mathematics,4,Whole Numbers,Remember,q1,What number comes before 7?,M4.1.1,3,5,4,5,4
Mathematics,4,Whole Numbers,Remember,q2,Which number is represented by the symbol '5'?,M4.1.1,3,4,4,3,4
Mathematics,4,Whole Numbers,Remember,q3,Which number is 3 more than 12?,M4.1.1,3,4,4,4,5
Mathematics,4,Whole Numbers,Remember,q4,Find the value of 2 × 3.,M4.1.1,2,4,3,4,4
Mathematics,4,Whole Numbers,Remember,q5,Which number is double of 4?,M4.1.1,3,3,4,4,5
Mathematics,4,Addition,Remember,q1,What is the sum of 3 and 5?,M4.2.1,3,4,4,4,4
Mathematics,4,Addition,Remember,q2,Which number is 2 more than 7?,M4.2.1,3,4,4,4,4
Mathematics,4,Addition,Remember,q3,Find the sum of 2 apples and 3 bananas.,M4.2.1,3,4,3,5,4
Mathematics,4,Addition,Remember,q4,How many marbles do you get when you add 4 and 3?,M4.2.1,3,4,4,4,3
Mathematics,4,Addition,Remember,q5,What is the sum of 2 mangoes and 3 kiwis?,M4.2.1,3,4,3,3,4
Mathematics,4,Addition,Apply,q1,Mama Jane sells tomatoes at KES 50 per kilogram. How much does she sell 2 kg of tomatoes for?,M4.2.3,3,5,4,3,4
Mathematics,4,Addition,Apply,q2,John has 3 apples. He eats 2 more. How many apples does he have now?,M4.2.3,3,4,5,5,4
Mathematics,4,Addition,Apply,q3,Samuel has 4 mangoes. His sister gives him 3 more. How many mangoes does Samuel have now?,M4.2.3,3,4,3,4,4
Mathematics,4,Addition,Apply,q4,James has 2 liters of water. He adds 1 liter. How many liters does James have now?,M4.2.3,3,4,5,4,3
Mathematics,4,Addition,Apply,q5,Rose has 5 marbles. She receives 3 more. How many marbles does Rose have now?,M4.2.3,3,4,4,4,4
Mathematics,4,Subtraction,Apply,q1,John has 7 apples. He gives 2 to his friend. How many apples does John have left?,M4.3.3,3,3,4,5,4
Mathematics,4,Subtraction,Apply,q2,Mama sells 3 mangoes for KES 15. How much does she sell 2 mangoes for?,M4.3.3,3,4,3,4,4
Mathematics,4,Subtraction,Apply,q3,"In a vegetable garden, there are 12 cabbages. Farmers pick and sell 5 cabbages. How many cabbages remain?",M4.3.3,3,3,4,4,3
Mathematics,4,Subtraction,Apply,q4,Samuel has 10 marbles. He trades 3 marbles with his friend. How many marbles does Samuel have now?,M4.3.3,3,4,4,4,4
Mathematics,4,Subtraction,Apply,q5,Rose has 15 bananas. She eats 4 bananas. How many bananas does Rose have left?,M4.3.3,3,4,4,5,4
English,4,The Family,Remember,q1,Which part of a family is a mother?,E4.1.1,3,5,4,4,4
English,4,The Family,Remember,q2,What is the name of your father's wife?,E4.1.1,3,4,5,4,4
English,4,The Family,Remember,q3,How many siblings does John have?,E4.1.1,3,3,4,3,4
English,4,The Family,Remember,q4,Who cooks meals for the family?,E4.1.1,2,4,5,4,4
English,4,The Family,Remember,q5,What is the name of your oldest sibling?,E4.1.1,3,4,4,4,4
English,4,The Family,Apply,q1,Which family member usually helps prepare meals?,E4.1.3,3,4,3,5,4
English,4,The Family,Apply,q2,How many siblings does John have?,E4.1.3,2,3,4,4,4
English,4,The Family,Apply,q3,What is the name of your mother's brother?,E4.1.3,3,4,4,5,4
English,4,The Family,Apply,q4,Which family member usually reads bedtime stories?,E4.1.3,3,4,5,5,4
English,4,The Family,Apply,q5,Which family member usually takes care of the garden?,E4.1.3,2,4,4,4,4
Science,4,Animals,Remember,q1,Which animal is known as the 'longest necked' in Kenya?,S4.2.1,3,4,4,4,3
Science,4,Animals,Remember,q2,What is the name of the largest herbivore in Kenya?,S4.2.1,3,4,4,4,4
Science,4,Animals,Remember,q3,Which animal lays eggs in Kenya?,S4.2.1,3,3,4,3,4
Science,4,Animals,Remember,q4,Which animal has stripes?,S4.2.1,3,4,4,4,4
Science,4,Animals,Remember,q5,Which animal is a predator in Kenya?,S4.2.1,3,5,5,4,4
Science,4,Animals,Apply,q1,Which animal is commonly kept as a pet in Kenya and lays eggs?,S4.2.3,2,3,4,4,4
Science,4,Animals,Apply,q2,Which animal has a long neck and eats leaves from tall trees?,S4.2.3,3,4,4,4,3
Science,4,Animals,Apply,q3,Which animal is known as the 'jumping antelope'?,S4.2.3,3,4,4,4,5
Science,4,Animals,Apply,q4,Which animal is often used for milk production in Kenya?,S4.2.3,3,3,4,5,5
Science,4,Animals,Apply,q5,Which animal is known for its distinctive stripes?,S4.2.3,3,4,4,5,4
Mathematics,5,Whole Numbers,Remember,q1,What number comes before 7?,M5.1.1,3,4,4,5,5
Mathematics,5,Whole Numbers,Remember,q2,Which number is represented by the digit 3 when written in ones place?,M5.1.1,3,5,5,4,4
Mathematics,5,Whole Numbers,Remember,q3,Which number is 5 more than 12?,M5.1.1,3,3,4,4,5
Mathematics,5,Whole Numbers,Remember,q4,Which number is represented by the digit 5 when written in tens place?,M5.1.1,3,4,4,4,5
Mathematics,5,Whole Numbers,Remember,q5,Which number is 10 less than 25?,M5.1.1,2,3,4,3,4
Mathematics,5,Fractions,Remember,q1,What part of a pizza does 1/4 represent?,M5.6.1,3,4,4,4,4
Mathematics,5,Fractions,Remember,q2,Which fraction represents half of a mango?,M5.6.1,3,4,4,4,4
