subject,grade,topic,bloom,question_id,stem,cbc_code,alignment_rating,clarity,grammar,cognitive_level,ambiguity
Mathematics,4,Whole Numbers,Remember,q1,What number comes before 7?,,,,,,
Mathematics,4,Whole Numbers,Remember,q2,Which number is represented by the symbol '5'?,,,,,,
Mathematics,4,Whole Numbers,Remember,q3,Which number is 3 more than 12?,,,,,,
Mathematics,4,Whole Numbers,Remember,q4,Find the value of 2 × 3.,,,,,,
Mathematics,4,Whole Numbers,Remember,q5,Which number is double of 4?,,,,,,
Mathematics,4,Addition,Remember,q1,What is the sum of 3 and 5?,,,,,,
Mathematics,4,Addition,Remember,q2,Which number is 2 more than 7?,,,,,,
Mathematics,4,Addition,Remember,q3,Find the sum of 2 apples and 3 bananas.,,,,,,
Mathematics,4,Addition,Remember,q4,How many marbles do you get when you add 4 and 3?,,,,,,
Mathematics,4,Addition,Remember,q5,What is the sum of 2 mangoes and 3 kiwis?,,,,,,
Mathematics,4,Addition,Apply,q1,Mama Jane sells tomatoes at KES 50 per kilogram. How much does she sell 2 kg of tomatoes for?,,,,,,
Mathematics,4,Addition,Apply,q2,John has 3 apples. He eats 2 more. How many apples does he have now?,,,,,,
Mathematics,4,Addition,Apply,q3,Samuel has 4 mangoes. His sister gives him 3 more. How many mangoes does Samuel have now?,,,,,,
Mathematics,4,Addition,Apply,q4,James has 2 liters of water. He adds 1 liter. How many liters does James have now?,,,,,,
Mathematics,4,Addition,Apply,q5,Rose has 5 marbles. She receives 3 more. How many marbles does Rose have now?,,,,,,
Mathematics,4,Subtraction,Apply,q1,John has 7 apples. He gives 2 to his friend. How many apples does John have left?,,,,,,
Mathematics,4,Subtraction,Apply,q2,Mama sells 3 mangoes for KES 15. How much does she sell 2 mangoes for?,,,,,,
Mathematics,4,Subtraction,Apply,q3,"In a vegetable garden, there are 12 cabbages. Farmers pick and sell 5 cabbages. How many cabbages remain?",,,,,,
Mathematics,4,Subtraction,Apply,q4,Samuel has 10 marbles. He trades 3 marbles with his friend. How many marbles does Samuel have now?,,,,,,
Mathematics,4,Subtraction,Apply,q5,Rose has 15 bananas. She eats 4 bananas. How many bananas does Rose have left?,,,,,,
English,4,The Family,Remember,q1,Which part of a family is a mother?,,,,,,
English,4,The Family,Remember,q2,What is the name of your father's wife?,,,,,,
English,4,The Family,Remember,q3,How many siblings does John have?,,,,,,
English,4,The Family,Remember,q4,Who cooks meals for the family?,,,,,,
English,4,The Family,Remember,q5,What is the name of your oldest sibling?,,,,,,
English,4,The Family,Apply,q1,Which family member usually helps prepare meals?,,,,,,
English,4,The Family,Apply,q2,How many siblings does John have?,,,,,,
English,4,The Family,Apply,q3,What is the name of your mother's brother?,,,,,,
English,4,The Family,Apply,q4,Which family member usually reads bedtime stories?,,,,,,
English,4,The Family,Apply,q5,Which family member usually takes care of the garden?,,,,,,
Science,4,Animals,Remember,q1,Which animal is known as the 'longest necked' in Kenya?,,,,,,
Science,4,Animals,Remember,q2,What is the name of the largest herbivore in Kenya?,,,,,,
Science,4,Animals,Remember,q3,Which animal lays eggs in Kenya?,,,,,,
Science,4,Animals,Remember,q4,Which animal has stripes?,,,,,,
Science,4,Animals,Remember,q5,Which animal is a predator in Kenya?,,,,,,
Science,4,Animals,Apply,q1,Which animal is commonly kept as a pet in Kenya and lays eggs?,,,,,,
Science,4,Animals,Apply,q2,Which animal has a long neck and eats leaves from tall trees?,,,,,,
Science,4,Animals,Apply,q3,Which animal is known as the 'jumping antelope'?,,,,,,
Science,4,Animals,Apply,q4,Which animal is often used for milk production in Kenya?,,,,,,
Science,4,Animals,Apply,q5,Which animal is known for its distinctive stripes?,,,,,,
Mathematics,5,Whole Numbers,Remember,q1,What number comes before 7?,,,,,,
Mathematics,5,Whole Numbers,Remember,q2,Which number is represented by the digit 3 when written in ones place?,,,,,,
Mathematics,5,Whole Numbers,Remember,q3,Which number is 5 more than 12?,,,,,,
Mathematics,5,Whole Numbers,Remember,q4,Which number is represented by the digit 5 when written in tens place?,,,,,,
Mathematics,5,Whole Numbers,Remember,q5,Which number is 10 less than 25?,,,,,,
Mathematics,5,Fractions,Remember,q1,What part of a pizza does 1/4 represent?,,,,,,
Mathematics,5,Fractions,Remember,q2,Which fraction represents half of a mango?,,,,,,
Mathematics,5,Fractions,Remember,q3,How many equal parts does a cake make if 3/4 of it is eaten?,,,,,,
Mathematics,5,Fractions,Remember,q4,Which fraction is smaller: 1/3 or 1/2?,,,,,,
Mathematics,5,Fractions,Remember,q5,Which fraction represents two-thirds of a watermelon?,,,,,,
Science,5,Diseases,Apply,q1,Which disease is spread through mosquito bites?,,,,,,
Science,5,Diseases,Apply,q2,Which fruit can cause cholera?,,,,,,
Science,5,Diseases,Apply,q3,Which disease makes you cough a lot?,,,,,,
Science,5,Diseases,Apply,q4,How many drops of medicine should be given to a child weighing 20kg?,,,,,,
Science,5,Diseases,Apply,q5,What is the name of the disease that causes fever and spots?,,,,,,
Science,5,Properties Of Matter,Remember,q1,Which material is used to make a kanga?,,,,,,
Science,5,Properties Of Matter,Remember,q2,What type of matter is a glass of water?,,,,,,
Science,5,Properties Of Matter,Remember,q3,Which material can you use to start a fire?,,,,,,
Science,5,Properties Of Matter,Remember,q4,Which material is used to make a mud house?,,,,,,
Science,5,Properties Of Matter,Remember,q5,What is the state of water when it's boiling?,,,,,,
Mathematics,6,Fractions,Remember,q1,Which fraction represents half of a pizza?,,,,,,
Mathematics,6,Fractions,Remember,q2,How many equal parts does a quarter represent in a whole?,,,,,,
Mathematics,6,Fractions,Remember,q3,Which fraction is equivalent to 3/4?,,,,,,
Mathematics,6,Fractions,Remember,q4,Which fraction represents three-fifths?,,,,,,
Mathematics,6,Fractions,Remember,q5,Which fraction represents two-thirds of a liter?,,,,,,
English,6,Work Ethics,Apply,q1,Which action shows good work ethic when helping a classmate?,,,,,,
English,6,Work Ethics,Apply,q2,What should you do if you find a classmate struggling with an assignment?,,,,,,
English,6,Work Ethics,Apply,q3,Why is it important to take responsibility for your actions at school?,,,,,,
English,6,Work Ethics,Apply,q4,Which behavior demonstrates poor work ethic during group projects?,,,,,,
